,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
marketCap,1996361343006.3572,1150071576171.336,1051729234301.5079,869818586240,643641973000,663254372880,639654472920,490314397682.64795,564630057042.912,375036176054.06396,280877935240,180817890396.19202,81185817859.104,160027885091.62,67879147736.231995,45911244342.48801,17669101527.28,8150251944.856,5541893420,6093148895.288,6268218201.728,10665203371.536,4685072776.832001,2087895319.7760003,3031483000,4275885218.752,5001710925.12,3608389040.0000005,5971876960,6164639008,3774640844,5822707416,5000875000,4672049360,2122600968,1114069448
enterpriseValue,2070781343006.3572,1209274576171.336,1140299234301.5078,965209586240,706689973000,703962372880,661105472920,493015397682.64795,553884057042.912,365221176054.06396,269616935240,175554890396.19202,69310817859.104,150675885091.62,61487147736.231995,42420244342.48801,14700101527.279999,4754251944.856,3605893420,4100148895.288,5377218201.728,9639203371.536,4158072776.8320007,1833895319.7760003,2614483000,4283885218.752,4394422925.12,3762389040.0000005,5656876960,5709639008,3522640844,5441707416,4943875000,4107049360,1546600968,777069448
peRatio,34.773150493918536,20.813514843118142,17.66691697269503,17.989671076916714,14.088076980322631,12.421889592088998,16.189685470007593,13.23850197593347,13.529582274049602,14.467871925548337,20.044097283950617,31.70019116342777,16.79474924681506,45.77456667380435,34.12727387442534,34.39044520036555,64.01848379449275,118.11959340371016,85.25989876923077,-243.72595581152,7.974832317720102,17.745762681424292,15.162047821462783,-1.9979859519387562,-3.7150526960784314,10.084634949886793,16.125292332531643,41.475736091954026,11.26769237735849,19.885932283870968,7.946612303157894,12.825346731277534,12.5021875,21.53018138248848,13.783123168831171,18.263433573770488
priceToSalesRatio,7.272321523437178,4.420393952398533,3.9598984706094167,3.79445713218807,2.9848124550753807,2.8378767853154483,3.4992996138844057,2.8688455776879525,3.607675371501214,3.4645694283925392,4.306292606209275,4.948898114136136,2.4996403171004036,6.666162004982921,3.514322947772819,3.2956172810629534,2.1342072143109068,1.3130742621002096,0.9651503692093347,1.1361456079224315,0.785195816325692,1.7387028646129767,0.7886000297646861,0.2948588221686203,0.3082968575205939,0.38653816839197247,0.5443299702113934,0.4523491337595587,0.8426523155072667,0.9771182450467586,0.6791365318459878,1.1019506843300528,1.2284143944976664,1.7557494776399851,1.1159836845425868,0.5808495557872784
pocfratio,24.74603147242429,16.573785882482397,13.582266630956788,13.676822954180947,9.718137624375293,8.161523550808456,10.712147654949508,9.136406620255805,11.102525897493157,9.993236591810707,15.105024750739446,17.798788305560784,8.460381185817424,29.25555486135649,30.57619267397838,18.110944513801975,18.917667588094215,28.20156382303114,61.576593555555554,32.93593997452973,7.588641890711864,13.36491650568421,6.045255195912259,11.105826169021277,5.841007707129094,-17.816188411466666,6.786628030203733,-5.542840307219663,6.484122649294245,32.61713760846561,3.9156025352697093,11.48463001183432,17.009778911564624,24.851326382978726,6.7384157714285715,4.204035652830189
pfcfRatio,27.211358863304806,19.527159334612467,16.40225876548257,17.121402008542802,12.03136574013496,9.505207556536444,12.818726912224449,10.996061845316168,13.620641121313069,12.469201584402166,17.04977147262353,20.21214960833803,9.668431327748483,35.688645203305086,43.42875734883685,20.180766743950773,23.31016032622691,65.202015558848,-65.97492166666666,-129.6414658571915,8.717966900873435,14.201336047318241,6.5160956562336585,-8.385121766168675,6.706820796460177,-10.716504307649123,8.662351275216139,-4.176376203703704,8.225725840220386,-212.57375889655174,5.100866005405406,21.726520208955225,33.339166666666664,45.804405490196075,8.558874870967742,5.279949990521327
pbRatio,30.553901085207258,12.709658475945274,9.81575997742828,6.4889075193029315,5.018689993684161,5.556988587658665,5.7343942277246365,3.9685824869699307,4.776499932686846,4.895075064335495,5.87721402021301,5.714851150322124,3.8604763603948644,11.012103295597301,6.7987928421706725,6.149376418763461,3.480910466367218,1.9299673087511247,1.3533317264957265,1.5543747181857144,1.526227952697346,3.435954694438144,2.8532720930767357,1.7399127664800003,1.4730238095238095,1.4739349254574283,2.0986484397564555,1.7810409871668311,2.7306250388660263,3.488760049801924,2.6085976807187286,3.9183764576043068,4.985917248255234,5.588575789473684,3.0585028357348705,2.0255808145454544
ptbRatio,30.553901085207258,12.709658475945274,9.81575997742828,6.4889075193029315,5.018689993684161,5.556988587658665,5.7343942277246365,3.9685824869699307,4.776499932686846,4.895075064335495,5.87721402021301,5.714851150322124,3.8604763603948644,11.012103295597301,6.7987928421706725,6.149376418763461,3.480910466367218,1.9299673087511247,1.3533317264957265,1.5543747181857144,1.526227952697346,3.435954694438144,2.8532720930767357,1.7399127664800003,1.4730238095238095,1.4739349254574283,2.0986484397564555,1.7810409871668311,2.7306250388660263,3.488760049801924,2.6085976807187286,3.9183764576043068,4.985917248255234,5.588575789473684,3.0585028357348705,2.0255808145454544
evToSales,7.543417820542984,4.647945514045738,4.293376133969042,4.210586502176815,3.277189993461294,3.0120547370943243,3.6166496508110177,2.8846492170302964,3.5390143445888516,3.3738988448305665,4.1336440818704485,4.804852352305663,2.134019454389113,6.2765927306348415,3.183388440912865,3.045025076626804,1.775589023708177,0.765950047503786,0.6279856182514804,0.7645252461845982,0.6735836404519604,1.5714384368333876,0.6998944246477026,0.2589881824284706,0.2658886402928913,0.3872613649206292,0.47823957356540847,0.4716546370816097,0.798204735431071,0.9049990502456807,0.633796481468154,1.029846218016654,1.214412920658315,1.543423284479519,0.8131445678233439,0.4051456976016684
enterpriseValueOverEBITDA,26.773652035146323,15.812264813883075,13.939918024247966,13.499245971944449,10.019849607962682,8.534222033532556,10.936582456616321,8.842373873352606,9.465191172680406,10.257869229695089,13.88918891613435,20.919314870852244,10.271312664360403,31.882328627088445,22.960099976188197,23.193135233727723,29.459121297154308,34.45110104968116,22.67857496855346,-16.803888915114754,7.638094036545454,20.46539993956688,11.177614991483873,-2.7786292723878794,-2.4947356870229007,5.43640256186802,7.800146127939195,10.336233626373629,4.984032563876652,8.110282681818182,3.5872106354378817,6.262033850402762,6.7355245231607626,8.538564158004158,4.284213207756233,4.796724987654321
